a,b
0,56.95488707598828
1,40.55985922264486
2,71.30452532655251
3,15.397736858823873
4,33.20112087553108
5,51.63310936138594
6,30.2608785378151
7,31.137421659781126
8,25.99337746960531
9,62.24195382300497
10,46.11462910789111
11,19.949205453933207
12,29.714034681010972
13,164.52306976140136
14,38.92263472697008
15,48.879951260246855
16,52.348252462675475
17,58.78185671955577
18,35.95672114167939
19,37.523798497569516
20,21.944108550930853
21,13.110500630467428
22,22.182256502791425
23,64.38408492594169
24,29.785715383473715
25,57.8099550112941
26,35.29498413865694
27,41.167693311085
28,70.34125057445974
29,13.528737290125838
30,26.308730312705485
31,78.20426400179541
32,50.9232249082211
33,33.374606715977166
34,50.96410006446366
35,29.581552123177524
36,32.52630310415072
37,54.33642976861841
38,20.677292090240297
39,34.239343519126116
40,24.517603614973478
41,28.153790701495026
42,60.372817257053576
43,106.91213176427149
44,21.959429911463722
45,106.9456688208931
46,41.41164909389024
47,30.361615013363895
48,28.916933578984583
49,84.14371535195842
50,59.76550549334455
51,59.44294867198344
52,57.06758069979155
53,65.68220046811264
54,48.14818758340546
55,50.35293026564422
56,84.91470684028222
57,75.18002462695891
58,31.461077494984853
59,17.783627815518457
60,90.41684941951235
61,47.410664561753144
62,15.951652273040558
63,34.89861923492747
64,25.435688963055725
65,30.023665316407794
66,24.954689858941705
67,57.90899775653208
68,63.449876065324865
69,18.490616290658117
70,61.92091732403501
71,38.679575441934574
72,25.47233421931035
73,68.45019031387666
74,52.398037031856326
75,53.02807333661857
76,24.385188137986813
77,35.02669013132867
78,106.42293724550169
79,66.15543188919538
80,82.79379445449766
81,32.92287899079898
82,33.92190158464081
83,26.57879403760359
84,59.0914553656304
85,42.190589731084444
86,24.817750538049694
87,22.605940014183606
88,40.57661523311322
89,38.447108942410715
90,65.65212609580632
91,98.66370400835739
92,20.35299963027792
93,38.49343805033915
94,73.15329731183519
95,54.20143030330266
96,41.463222016918095
97,16.530386949718082
98,34.888023219525635
99,78.52306166838984
100,17.294380198940498
101,25.142022119803134
102,92.6681672434518
103,30.633966512979256
104,39.357901964501124
105,67.48122871024877
106,35.668415121844006
107,13.388964059472938
108,0.0
109,59.51644788128811
110,60.842237395052756
111,48.99523372703992
112,29.604036403543304
113,30.716021319779887
114,30.15314237077318
115,35.084615529148245
116,24.5244048840846
117,59.89130437669043
118,31.550954533754126
119,36.423971845475606
120,24.43715207703815
121,41.085601106663454
122,33.88072449180277
123,74.7918612304342
124,12.513670348388192
125,58.40762562340229
126,58.71714703615767
127,31.62685732666226
128,65.6797244424742
129,44.757718236555405
130,35.26114543512343
131,52.381479683378934
132,34.43375050731476
133,21.442540408164838
134,32.564097199997576
135,36.08698805872123
136,20.11173813293638
137,73.74949939183215
138,30.081664710743983
139,29.52181919217622
140,12.387994808725768
141,38.02066776533756
142,53.30899891420374
143,40.2358924646228
144,36.03303002940668
145,27.79997664025058
146,105.24354717622627
147,22.89622233694287
148,60.278593487545194
149,1.6011864169946884e-15
150,78.71386500882865
151,76.40555578416722
152,37.82870109758336
153,35.67637316040064
154,57.03853320294879
155,70.80560180205393
156,60.002906215312215
157,99.56484530598493
158,50.257244232106025
159,26.51186071384685
