a,b
0,40.77405360304275
1,18.421150222236548
2,50.60790705999831
3,55.45987632928142
4,53.51305026794475
5,47.18970776601527
6,51.47494258740589
7,69.58944617943044
8,137.66240304914524
9,103.79033106946494
10,93.39340722943967
11,95.58820216371794
12,62.80439624240322
13,64.15644542119284
14,27.577721278027056
15,94.61874899939147
16,109.87260300177029
17,7.105427357601002e-15
18,84.90185898080111
19,41.532070160585874
20,116.18759002035303
21,79.33938850591908
22,42.79009480669711
23,128.35188483662122
24,53.996824010715
25,128.20250150548557
26,73.75467337358656
27,54.01356154386331
28,120.16165592293574
29,86.24748898041423
30,82.35459192962112
31,66.43673647558354
32,59.257683131914185
33,94.72294690128616
34,51.617136025745694
35,53.628620756674295
36,36.68400941145887
37,125.80898812407354
38,26.075347241592123
39,38.38362461895558
40,108.41193711407641
41,100.67274104345806
42,57.439981825627925
43,83.86416096208141
44,113.04780667158879
45,126.13305985180143
46,113.35908977164516
47,104.72283793734054
48,87.98496773309897
49,97.38396099322402
50,75.96080062169905
51,66.58084210256277
52,75.07035100765133
53,207.26125331008834
54,74.20800760244202
55,65.29798763297893
56,33.501585388574924
57,50.25078415856108
58,92.30907265918619
59,26.625390914060425
60,76.25641994375982
61,103.38868809224347
62,102.58966639500751
63,66.00220500030163
64,41.7710672712224
65,104.86900374842752
66,71.19128397293802
67,57.65061066735424
68,42.738085898029844
69,88.00364957672205
70,176.91788027217592
71,63.01664990902923
72,36.282096766092856
73,92.26637736286557
74,242.2692674044602
75,23.268593875382734
76,31.7976801957949
77,148.48305478516176
78,34.16768098742805
79,74.40828704560671
80,121.35066006896527
81,71.61474264661503
82,128.00444030085325
83,194.81901649172715
84,60.4808701351435
85,33.64189979985674
86,26.431311028147444
87,68.95834057947829
88,67.31475990193306
89,108.62803515986958
90,118.11759939192429
91,97.29705653878065
92,85.90682261284863
93,72.0058484194813
94,58.120235251411586
95,131.77206085343744
96,144.2405796285648
97,59.28260351342625
98,37.70187128132197
99,69.5800351472401
100,123.4490360918221
101,55.459608884853324
102,86.82274240412534
103,76.18838518474855
104,146.12895312177662
105,41.99982974873705
106,96.10916247754092
107,29.613681956619047
108,45.684086844710734
109,95.72617674181589
110,112.27275492196343
111,80.60590576428358
112,128.48168946221912
113,31.397993056725138
114,83.92688817285915
115,32.114747176211345
116,103.98068365066928
117,80.9918275536475
118,120.22253774831331
119,57.08950748388849
120,109.05055744519211
121,70.06739827559569
122,31.452383298781115
123,119.70658150054012
124,123.90724588118788
125,104.68369723588921
126,40.69017933143936
127,124.27060640392804
128,151.14736323924973
129,121.11652255988864
130,107.35780186047266
131,89.17437726615073
132,131.83048001126295
133,2.1295539439047073
134,46.38707013148701
135,85.73513019416256
136,101.26959296284357
137,71.69054073500168
138,152.7041856135274
139,73.05757877367711
140,88.89418613015977
141,69.90017250633949
142,85.89034559222212
143,68.08302116241288
144,171.66851719496609
145,95.68547949837186
146,51.93055514739536
147,60.51970444751398
148,48.568488128900555
149,36.386168247857974
150,84.31413041157131
151,49.78143053113162
152,97.33367811583344
153,151.64348897075078
154,127.94910814595879
155,114.67229839371393
156,1.5520794852437174e-13
157,112.57177234306144
158,72.66234724265723
159,73.6241815332648
160,99.74788902124024
161,57.37527922189785
162,42.70209327501517
163,87.5924821470763
164,52.78692680854204
165,69.9770922479408
166,97.59417258037223
167,92.87993360236209
168,87.75934596776908
169,139.73240554896347
170,69.8483906445252
171,99.27889961612007
172,52.99517582966362
173,97.60756874102186
174,75.02828245901674
175,34.69506305190238
176,64.51192552986468
177,31.274409169151536
178,38.452821548543646
179,126.73381856574719
180,127.82127376352743
181,208.55871115399393
182,120.72552676374755
183,94.83674389745073
184,38.01659275430176
185,54.01987111925279
186,86.32593219475677
187,105.6898287554218
188,57.788270094427226
189,82.69610581883526
190,102.18684345354836
191,90.73495411411076
192,85.20585186543813
193,74.59848088118734
194,116.9131228057193
195,36.798863741058284
196,95.2349229828825
197,147.14955129334686
198,38.88996704108874
199,102.73675214107693
200,141.3366549271632
201,80.61930213836875
202,86.45287085315599
203,74.2978509929512
204,123.68122997447915
205,116.86676509327557
206,50.30910449719196
207,91.68727480485006
208,85.91220420267815
209,120.49489449765086
210,73.28781488165376
211,89.83746124797416
212,23.61986686386413
213,101.5772263531814
214,162.3653677230363
215,136.84598593969795
216,125.81837196837849
217,82.7264056567725
218,120.57086812746265
219,122.98608412237174
220,113.52381575706636
221,118.99963437607575
222,75.31817938205387
223,127.62521570881759
224,101.38759554380948
