a,b
0,19.277626376984564
1,12.583333333333334
2,0.0
3,65.2632720816386
4,1.3322676295501878e-15
5,320.25243410576377
6,48.30005484197667
7,1.7763568394002505e-15
8,121.39752037844492
9,54.86566868270184
10,63.76996212028374
11,128.47922937364018
12,62.23822748988114
13,154.05612599753152
14,92.28116725659687
15,82.89641463183146
16,105.95590769507757
17,84.78023749012708
18,96.89875817700103
19,220.00787648559853
20,0.0
21,41.99582273919251
22,0.0
23,122.80605175978965
24,190.7314450611412
25,25.24057640406592
26,61.00308397177163
27,33.04516305820271
28,49.95630406978187
29,26.150313175765977
30,121.11498790818581
31,54.93804298379414
32,1.1546319456101628e-14
33,41.05435629922423
34,89.50618693699336
35,32.00071288268435
36,92.89496486656783
37,15.311640783740309
38,64.32462784270498
39,82.22186937048916
40,0.7566372975210794
41,40.752053378580165
42,90.20193402587482
43,53.24386605941612
44,8.881784197001252e-16
45,1.7763568394002505e-15
46,123.51119010257959
47,84.08375006916886
48,41.06898930531721
49,21.827511997931673
50,82.50748450898257
51,217.4873470128013
52,0.0
53,116.6643408196247
54,50.96112292718833
55,85.00886718454728
56,1.7763568394002505e-15
57,8.881784197001252e-16
58,93.02776803191615
59,253.31429054525225
60,163.39893559560838
61,91.13308003573674
62,85.05987854256131
63,81.19414906645063
64,120.97539260873151
65,71.36544051880989
66,62.60971035741975
67,86.92336439581683
68,112.4282058140216
69,174.61005525619348
70,52.55165068509787
71,146.67113400815703
72,203.27653926845565
73,160.21619431953636
74,0.9246621004453467
75,114.51108966384001
76,111.8885398752694
77,83.5343074792969
78,157.56760757711362
79,73.9129274450032
80,64.52541624042408
81,62.04842660392149
82,1.7763568394002505e-15
83,102.7719299810719
84,18.35820661175813
85,107.26445886271512
86,130.32179599403585
87,99.44830843730193
88,100.57584127857746
89,30.903916297177407
90,66.20269818745594
91,103.14625351678174
92,107.92887257407595
93,65.1556060819502
94,112.12032249837675
95,95.98869287424841
96,95.95732728349026
97,109.8033710254634
98,68.11837272839244
99,221.7383238171642
100,8.881784197001252e-16
101,71.21136759179711
102,83.67241812232847
103,6.661338147750939e-16
104,71.89340490931502
105,82.34060326246366
106,35.00135711654621
107,14.555968707028743
108,1.1379786002407855e-14
109,120.93465037883063
110,111.22607607930796
111,5.329070518200751e-15
112,97.43959260944828
113,70.17785674386644
114,107.0197655807942
115,63.827622386056476
116,144.28686534508648
