a,b
115,135.4924756897709
116,111.84493557121462
117,42.481279824953546
118,156.67978178711482
119,90.97323721613999
120,145.42305317405376
121,139.73138316061414
122,144.18830189549644
123,175.7308630323237
124,167.73457215862408
125,159.20111344715284
126,172.19639391133668
127,136.6435061951622
128,147.68970381429799
129,132.2265805622347
130,111.83577675980709
131,115.91965150051136
132,214.09037127458586
133,89.97745640353041
134,285.1830167664818
135,81.34716475836552
136,141.52321579357786
137,272.263298550128
138,78.847722760954
139,199.935102658554
140,159.64046301994227
141,157.92691020423854
142,92.0864243959196
143,57.031557449198466
144,223.63740661434113
145,51.458037920879484
146,150.57371872214998
147,100.35576052236915
148,146.41544832689667
149,162.7088918642602
150,120.68856826101789
151,365.4858428581325
152,37.668902588504146
153,116.53170746921644
154,257.9625972769648
155,254.93705174049882
156,46.385887002102066
157,39.5901262943174
158,143.8616628894453
159,150.17944066508716
160,99.5068542833881
161,252.7911981980384
162,162.00969731517984
163,268.3311289310642
164,118.13506677359236
165,187.91868636377822
166,211.03768789135242
167,251.5998223866622
168,172.74512399742707
169,138.46663853236964
170,64.90520831037824
171,111.41966689884306
172,172.76702002527833
173,313.3849477778141
174,157.77855836117607
175,124.08446381569655
176,113.32780572122049
177,260.68144816231165
178,180.99953988875606
179,183.15979996986212
180,131.04939574260698
181,117.69225564475917
182,77.689603122243
183,180.36662675079995
184,161.63811324457845
185,158.86121842009652
186,184.02171272162428
187,87.62814550623816
188,96.30250795020835
189,115.09595344505807
190,276.6233767194776
191,105.33645437913829
192,132.29262901545124
193,148.42741059106277
194,143.91796428715642
195,136.8523373473678
196,132.6128266356509
197,79.30567266420051
198,222.54864317860935
199,150.77483059521444
200,114.8715377375116
201,91.8023995638484
202,108.84678421152478
203,93.482731745696
204,12.583333333333332
205,178.80931818296096
206,129.33518140188747
207,183.28288888187188
208,98.30051017048186
209,142.99461666430543
210,56.072971658473485
211,204.0342626551179
212,144.62490059460723
213,367.0412543836844
214,356.3077425536447
215,233.456001975026
216,117.35932521267918
217,167.9329479962592
218,87.22683776303535
219,75.4806107817895
220,252.05734546824033
221,115.8734598416025
222,105.07660196372784
223,115.92949496535364
224,61.76037456679375
225,148.79004393868263
226,103.39737412549637
227,156.62680700190583
228,143.0849434539838
229,171.94109867044574
230,213.97876221755868
231,139.12700654659838
232,267.31516879214144
233,107.90251205234314
234,113.48110713496972
235,174.1111266156431
236,205.01580207412616
237,218.24576881902527
238,134.8928974522126
239,49.044964779318875
240,176.77492289977735
241,100.57024648247385
242,84.53278833315241
243,120.58878493645544
244,188.08588600085494
245,135.9804346717849
246,344.55140319616237
247,183.84411490846654
248,105.96673639095182
249,134.4723142687063
250,241.55679814125466
251,91.88322425779928
252,187.19768469112813
253,128.49591626560408
254,153.24652155429112
255,167.32279391212657
256,89.55707496680971
257,302.6631176419952
258,31.238697956220893
259,65.13264249196477
260,126.29247991119298
261,144.90458416626
262,143.74922886933678
263,291.5630850717873
264,123.93557235697858
265,128.68103679222565
266,96.65577216413763
267,108.22613444902197
268,75.62309740357514
269,230.97661533389595
270,90.45050677680854
271,92.91407874682197
272,104.5429665015601
273,103.48149661953153
274,157.66248771821904
275,224.3689758241401
276,298.5849404738366
277,54.92179334317646
278,100.63559247724503
279,101.764153951661
280,136.43857386064866
281,161.86468753182018
282,96.64777833953816
283,242.688893458816
284,99.54499297739754
285,191.633026410947
286,169.2661902363932
287,281.99070994318384
288,230.52852222182352
289,198.55657280566177
290,138.49610271039978
291,105.34663676538413
292,228.51820069952396
293,220.98007072993678
294,115.11010883283782
295,142.82480011834897
296,325.6889210758771
297,123.84162281962556
298,170.2984646066895
299,143.89304866368957
300,102.48100836753997
301,274.38227365988024
302,89.1963093567991
303,171.98033153526853
304,120.28045070965037
305,427.85061745302914
306,122.59395732720061
307,222.48400600876815
308,98.13082464632934
309,311.3472882583325
310,126.05051447031984
311,80.04398417667954
312,109.67897515485213
313,200.8755789787356
314,71.43318736893244
315,99.21072667758622
316,150.88600503927526
317,149.9506134546721
318,191.0027094323767
319,92.50107132635407
320,98.60317167057883
321,141.57582315778893
322,142.8121399123606
323,176.61849472486267
324,148.82296087619898
325,162.52882841954667
326,176.51589888732397
327,97.01495822904575
328,170.05997137714448
329,150.90812470144726
330,215.51603784042447
331,137.90529117186313
332,203.186693546123
333,112.00671469462098
334,167.98363268322788
335,215.2592743726492
336,99.36237282836322
337,126.69865969270886
338,51.91978692358655
339,208.72864962008026
340,147.50704792165186
341,319.35625535197835
342,209.5124427545965
343,90.12411196331004
344,58.47939542171146
345,92.71067502279404
346,95.6111302466964
347,325.64412371079624
348,209.62910168467232
349,104.25545351727814
350,132.60286566152203
351,170.99816845480657
352,184.05727076907112
353,156.5234222268262
354,182.3789104336166
355,127.38100202696562
356,119.98794090988916
357,273.42443275712236
358,184.52395618392947
359,132.68977770268626
360,148.01471711938618
361,127.43510036250264
362,219.43240733182193
363,145.46384493255658
364,89.40083421530441
